parameter,value,mean_worst,p10_worst,neg_fraction,mean_axial_std,infocus_mean
r1,0.6357834950155232,0.2850687176118777,0.07491278231343067,0.0,0.06294796955895653,0.31684809282307486
r1,0.6457834950155232,0.30331441717624796,0.0935843929047659,0.0,0.054551920261469836,0.3437976279411916
r1,0.6557834950155232,0.30992675209239506,0.10674054106268407,0.0,0.05036855417030289,0.3633854750009438
r1,0.6657834950155233,0.31352211475840364,0.1260141548748899,0.0,0.0483858230923177,0.39169504846738273
r1,0.6757834950155233,0.31159054131813374,0.14113591244890245,0.0,0.050192384508752075,0.41445280994127626
r1,0.6857834950155233,0.3054448535829849,0.15593465693787342,0.0,0.05463097067059799,0.43682022393498166
r1,0.6957834950155233,0.29416401379303486,0.16436562934823964,0.0,0.06207757519227613,0.4609364220969623
r1,0.7057834950155233,0.28017670503090025,0.16426282988992832,0.0,0.07125976915420716,0.48353172946128153
r1,0.7157834950155233,0.262734871249887,0.15453756624663606,0.0,0.08357233002434404,0.5087901401795919
r1,0.7257834950155233,0.24516404866982786,0.13807982687964845,0.0,0.09656121072159181,0.5325173637130145
r1,0.7357834950155233,0.2274776838027508,0.12211290297709755,0.0,0.11041241348835955,0.5562411551173616
r2,0.8262796208289984,0.24353121708467643,0.06404835478471872,0.0,0.09754950174827477,0.5431816751764399
r2,0.8362796208289984,0.2593183989900439,0.0820893353210025,0.0,0.08552510308601693,0.5206737726992439
r2,0.8462796208289984,0.2741136843382253,0.10166494233004789,0.0,0.07443345317565973,0.4983946788270813
r2,0.8562796208289984,0.2859184192042336,0.11931337933082438,0.0,0.06613950375840083,0.479653423605955
r2,0.8662796208289985,0.2973212895463445,0.1384644309621406,0.0,0.05912952519014812,0.45991090192919976
r2,0.8762796208289985,0.3054448535829849,0.15593465693787342,0.0,0.05463097067059799,0.43682022393498166
r2,0.8862796208289985,0.30235759553367997,0.15196910456701718,0.0,0.05479850473464782,0.41986848081382644
r2,0.8962796208289985,0.29620424032922277,0.1481604732164994,0.0,0.05896491824250667,0.3993356542152837
r2,0.9062796208289985,0.28960596112207954,0.14566410901927593,0.0,0.06497022489897156,0.38231984468471897
r2,0.9162796208289985,0.2773550563416935,0.1212732512444328,0.0,0.07358221321737796,0.3631992247964461
r2,0.9262796208289985,0.26329915834538403,0.09483887870055019,0.0,0.08365926841694507,0.34374866289971434
sigma,0.4454812382609806,0.27877109852274534,0.11421430705034208,0.0,0.08394450232081381,0.45720609273465423
sigma,0.46548123826098065,0.2908447109225895,0.12413382204202915,0.0,0.07623000326515492,0.45389304837988903
sigma,0.4854812382609806,0.3002040805819964,0.1342542937474789,0.0,0.06889309063664126,0.4498640845849087
sigma,0.5054812382609806,0.3055892439687461,0.14252376377855305,0.0,0.06293702707652037,0.4456700745550076
sigma,0.5254812382609806,0.30723628111534496,0.14983791367087354,0.0,0.057982102742739614,0.44108131520700444
sigma,0.5454812382609806,0.3054448535829849,0.15593465693787342,0.0,0.05463097067059799,0.43682022393498166
sigma,0.5654812382609806,0.29960164262123323,0.16147385518055632,0.0,0.05201549601770189,0.43161457499154104
sigma,0.5854812382609806,0.2905223129184127,0.16163726580750085,0.0,0.05096193128424215,0.42659879355040164
sigma,0.6054812382609807,0.27751003710893357,0.15890174091226825,0.0,0.05138963525454264,0.4213459129178448
sigma,0.6254812382609806,0.2600727224688864,0.15458433618599962,0.0,0.05362168982194784,0.4157688612763981
sigma,0.6454812382609806,0.23970121891246915,0.14892065572242077,0.0,0.05756401388703651,0.4103443179058792
phase_ratio,0.85,0.23993242642097176,0.07593767591458318,0.0,0.08698753006811742,0.4600262193129118
phase_ratio,0.875,0.2521816059041357,0.0912743687471214,0.0,0.07889279850471505,0.45302716846588026
phase_ratio,0.8999999999999999,0.26380475193616965,0.10273116726276191,0.0,0.07139696414331678,0.44724086836508853
phase_ratio,0.9249999999999999,0.2749150465083734,0.11474725476186926,0.0,0.06478254830102262,0.4427029934747979
phase_ratio,0.95,0.2855605623686623,0.1276738504193519,0.0,0.05944475277685824,0.4394415213027036
phase_ratio,0.975,0.2957490316726223,0.1414312574744522,0.0,0.055891806962841135,0.4374765599092961
phase_ratio,1.0,0.3054448535829849,0.15593465693787342,0.0,0.05463097067059799,0.43682022393498166
phase_ratio,1.025,0.2957490316726224,0.14143125747445237,0.0,0.055891806962841115,0.437476559909296
phase_ratio,1.0499999999999998,0.28556056236866234,0.127673850419352,0.0,0.05944475277685821,0.4394415213027036
phase_ratio,1.075,0.2749150465083734,0.11474725476186927,0.0,0.06478254830102259,0.4427029934747978
phase_ratio,1.0999999999999999,0.26380475193616976,0.10273116726276206,0.0,0.07139696414331667,0.44724086836508853
phase_ratio,1.125,0.2521816059041358,0.09127436874712147,0.0,0.07889279850471503,0.4530271684658803
phase_ratio,1.15,0.23993242642097196,0.07593767591458332,0.0,0.08698753006811734,0.4600262193129118
