Method,sigma,mean_worst,positive_worst,mean_axial_std,infocus_mean,neg_fraction,p10_worst,p50_worst,min_worst,score
Clear,0.5933496776994324,0.04203132494496529,0.061370499215943695,0.28126195060881237,0.8392523616884359,0.192966685734521,-0.035342825483442676,-0.024424006853333437,-0.0367667637823759,-0.1665059955078675
Cubic,0.6003584681130534,0.10718862559346935,0.12022754894604899,0.1326692528976831,0.2711225200713473,0.040628149600937045,-0.06764167619713635,0.08329839870739064,-0.12471772644250692,0.027667586982946628
Quartic,0.5026511498097901,0.10595657831783206,0.10595657831783206,0.1968117298334377,0.3591610690999716,0.0,0.02278481460141329,0.06953919906127155,0.004099740868556277,0.08703835219650512
Proposed,0.5454812382609806,0.3049376314440052,0.3049376314440052,0.054902401168019345,0.4395988739216452,0.0,0.15595017750975373,0.27174414763252425,0.12078205863504815,0.40160990976220784
