N,mean_worst,positive_worst,mean_axial_std,infocus_mean,neg_fraction,p10_worst,p50_worst,min_worst
128,0.30192124053361663,0.30192124053361663,0.05613985117498968,0.44169309868374873,0.0,0.15786809592248816,0.26723887923257195,0.12240991276032451
192,0.3054448535829849,0.3054448535829849,0.05463097067059799,0.43682022393498166,0.0,0.15593465693787342,0.27081226374513345,0.11965477805481363
256,0.3049376314440052,0.3049376314440052,0.054902401168019345,0.4395988739216452,0.0,0.15595017750975373,0.27174414763252425,0.12078205863504815
384,0.30485098925377513,0.30485098925377513,0.05507417333254317,0.44000868901706003,0.0,0.15706544509906686,0.2705289416521297,0.12091065240205469
